Name,Level,Logo URL,Slug,Categories,Website,Chair,TAC Representative,Documentation,Calendar,Artwork,iCal,LFX Insights URL,Accepted Date,Last Review Date,Next Review Date,Slack URL,Chat Channel,Mailing List,Github Org,Best Practices Badge ID,Primary Github Repo,Contributed By
AI SIG,sig,https://lfenergy.landscape2.io/logos/2ab8f0c23ac3302fca0e2452e512e3d7d2e289df2dd962fa4f0222c9fb30b6f2.svg,lf-energy-ai-sig,"LF Energy Projects / SIG,Shared / Systems Governance",https://lfenergy.org/working-groups/lf-energy-artificial-intelligence-ai/,Alexandre Parisot,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/lf-energy-ai-sig,https://artwork.lfenergy.org/projects/lf-energy-ai-sig,https://webcal.prod.itx.linuxfoundation.org/lfx/lfJZDTtwe7PzYugoTH,https://insights.linuxfoundation.org/project/lf-energy-ai-sig,2023-11-01,2024-10-29,2025-11-11,,,,,,,
Arras,sandbox,https://lfenergy.landscape2.io/logos/5fe3c562fd3899d448f56d8877e62805f4ae1fbeefbbf2436c647b5b7f94f6b6.svg,arras,"LF Energy Projects / Sandbox,SIG / Grid Simulation and Modeling,Distribution / Modeling and Simulation,System Management / Power System Calculation,Energy Systems / Distribution and Grids",https://arras.energy/,David Chassin,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/arras,https://artwork.lfenergy.org/projects/arras,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001L1HmTQAV,https://insights.linuxfoundation.org/project/arras,2023-01-03,2024-07-16,2025-10-01,https://slack.lfenergy.org,#arras,https://lists.lfenergy.org/g/arras-discussion,https://github.com/arras-energy,,https://github.com/arras-energy/tsc,"SLAC, PNNL, Amazon, SCE, CEC, Hitachi"
Battery Data Alliance,sandbox,https://lfenergy.landscape2.io/logos/3b2008b9d383862c8ef5544e6793512cb4e452186c164afe4d2171a4bbf835e2.svg,battery-data-alliance,"LF Energy Projects / Sandbox,SIG / No SIG,Other / Batteries,Energy Storage / Battery",https://batterydataalliance.energy/,Gabe Hege,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/battery-data-alliance,https://artwork.lfenergy.org/projects/battery-data-alliance,https://webcal.prod.itx.linuxfoundation.org/lfx/lfomTQpTLl3A7cDHjh,https://insights.linuxfoundation.org/project/battery-data-alliance,2024-02-28,2024-08-27,2025-09-02,,,,https://github.com/battery-data-alliance,,https://github.com/battery-data-alliance/pymacnet,"AmpLabs, BattGenie, ionworks"
CitrineOS,sandbox,https://lfenergy.landscape2.io/logos/d4d2004fa99afd7b71224be2b87964ecf2bc86adef982d1b42632aaa0658e38a.svg,citrineos,"LF Energy Projects / Sandbox,SIG / EV Charging,Behind-the-Meter / EV Charging,Consumption of Energy and Resources / Mobility and Transportation",https://citrineos.github.io/latest/,Thana Paris,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/citrineos,https://artwork.lfenergy.org/projects/citrineos,https://webcal.prod.itx.linuxfoundation.org/lfx/lfggfffNJIAO3ySYf9,https://insights.linuxfoundation.org/project/citrineos,2024-07-02,2024-11-27,2025-11-26,https://slack.lfenergy.org,#citrineos,https://lists.lfenergy.org/g/citrineos-discussion,,,https://github.com/citrineos/citrineos,S44
CoMPAS,incubating,https://lfenergy.landscape2.io/logos/5d090afe122c5dd933c60c9ebe6f550adfc03be18a728a17bb400881c87a0c73.svg,compas,"LF Energy Projects / Incubating,SIG / Digital Substations,Transmission / Grid Automation,Distribution / Grid Automation,Acquisition and Control / Substation Node,Energy Systems / Modeling and Optimization",https://www.lfenergy.org/projects/compas/,Sander Jansen,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/compas,https://artwork.lfenergy.org/projects/compas,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001IkJTLQA3,https://insights.linuxfoundation.org/project/compas,2020-07-06,2024-06-25,2025-06-10,https://slack.lfenergy.org,#compas,https://lists.lfenergy.org/g/CoMPAS,https://github.com/com-pas,,https://github.com/com-pas/compas-open-scd,"RTE, Alliander"
Connected Data Specification - Customer Data Working Group (CDS WG1),working-group,https://lfenergy.landscape2.io/logos/33f50612a7d719438c286cb64c6d307984be46fd9b034a50a039c6fa5cf3d5a3.svg,cds-customerdata-wg,"LFESS Working Groups / Working Group,SIG / No SIG,Distribution / Grid Edge,Emissions / Carbon Intensity and Accounting",https://cds-customerdata.lfenergy.org/,Daniel Roesler,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/cds-customerdata-wg,https://artwork.lfenergy.org/projects/cds-customerdata-wg,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001NVQt3QAH,https://insights.linuxfoundation.org/project/cds-customerdata-wg,2022-10-13,,2025-12-09,,,,,,https://github.com/lfe-cds/CDS-Customer-Data,"Google, Microsoft, UtilityAPI, WattTime"
Connected Data Specification - Power Systems Data Working Group (CDS WG2),working-group,https://lfenergy.landscape2.io/logos/3602e4ea8eb0c16ca0a0ca3753e0b7adab7b99fd73a9e843bf12939b86966a1d.svg,cds-powersystemsdata-wg,"LFESS Working Groups / Working Group,SIG / No SIG,Transmission / Operations,Emissions / Carbon Intensity and Accounting",https://cds-powersystemdata.lfenergy.org/,Stephen Suffian,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/cds-powersystemsdata-wg,https://artwork.lfenergy.org/projects/cds-powersystemsdata-wg,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001NVQt4QAH,https://insights.linuxfoundation.org/project/cds-powersystemsdata-wg,2022-10-13,,2025-12-09,,,,,,https://github.com/lfe-cds/CDS-Power-Systems-Data,"Google, Microsoft, UtilityAPI, WattTime"
Connected Data Specification - Registration Working Group (CDS WG3),working-group,https://lfenergy.landscape2.io/logos/c0b18fbe055c88d7c4b77a1bec4495290a310febc55923e47658d6b95c760ca0.svg,cds-registration-wg,"LFESS Working Groups / Working Group,SIG / No SIG,Distribution / Grid Edge,Emissions / Carbon Intensity and Accounting",https://cds-registration.lfenergy.org/,Daniel Roesler,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/cds-registration-wg,https://artwork.lfenergy.org/projects/cds-registration-wg,https://webcal.prod.itx.linuxfoundation.org/lfx/lftcOCnS1t49JtW1Zj,https://insights.linuxfoundation.org/project/cds-registration-wg,2024-07-01,,2025-12-09,,,,,,https://github.com/lfe-cds/CDS-Registration,"Google, Microsoft, UtilityAPI, WattTime"
covXtreme,sandbox,https://lfenergy.landscape2.io/logos/075c7820b2e4337711933688c0fca6808d499e6861f4f362222d907b20842729.svg,covxtreme,"LF Energy Projects / Sandbox,SIG / Grid Simulation and Modeling,Other / Risk Analysis,Climate and Earth Science / Meteorological Observation and Forecast",https://lfenergy.org/projects/covxtreme/,Sachin Bhakar,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/covxtreme,https://artwork.lfenergy.org/projects/covxtreme,https://webcal.prod.itx.linuxfoundation.org/lfx/lfwTZTl5McN9ojiuC7,https://insights.linuxfoundation.org/project/covxtreme,2024-06-04,2025-04-02,2026-04-01,,,,,,https://github.com/covXtreme/covXtreme,Shell
CUPID (Controllable Unit Protocol Interface for DER),sandbox,https://lfenergy.landscape2.io/logos/20a9251cd85294843dc1227b024517df8bb95ea7e36942857d0b47ad4b46af78.svg,cupid,LF Energy Projects / Sandbox,https://github.com/Horizont-Europe-Interstore,,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/cupid,https://artwork.lfenergy.org/projects/cupid,https://webcal.prod.itx.linuxfoundation.org/lfx/lfwN2bdbqmNgG2TtYc,https://insights.linuxfoundation.org/project/cupid,2025-03-19,,,,,,https://github.com/Horizont-Europe-Interstore,,https://github.com/Horizont-Europe-Interstore/Data-Space-Connector-Fiware-Data-App,
